Campagne;Annonceur;Responsable commercial;Nature;Etat planning;Prête à diffuser;Accord cadre;ODI envoyé;ODI reçu;début;Fin;Volume total prévu;Volume clic prévu;Brut prévu;Net prévu;Taux de remise prévu;Frais techniques prévus;CPM net prévu;Volume total diffusé;Volume clic diffusé;Net diffusé;Mandataire de Réservation
TRANSEXPRESS - 66451;TRANSEXPRESS;JA;CL;Demande;Non;Non;Non;Non;01/02/2021;31/12/2021;0;0;1500.00;1500.00;0.00;0.00;0.00;0;0;1500.00;TRANSEXPRESS
VALLY CONFECTION - 68874;VALLY CONFECTION;JA;CL;Demande;Non;Non;Non;Non;01/06/2021;31/12/2021;0;0;600.00;600.00;0.00;0.00;0.00;0;0;600.00;VALLY CONFECTION
VALLY CONFECTION - 69859;VALLY CONFECTION;JA;CL;Confirmée;Non;Non;Non;Non;01/07/2021;31/12/2021;0;0;500.00;500.00;0.00;0.00;0.00;0;0;500.00;VALLY CONFECTION
CARREFOUR PARR METEO - 65471;VINDEMIA DISTRIBUTION;JA;EXTWB;Confirmée;Non;Non;Non;Non;01/08/2021;30/09/2021;0;0;1000.00;1000.00;0.00;0.00;0.00;0;0;1000.00;KAYAMB COMMUNICATION
CARREFOUR RODZAFER - 66921;VINDEMIA DISTRIBUTION;JA;CL;Demande;Non;Non;Non;Non;05/04/2021;19/12/2021;0;0;8000.00;8000.00;0.00;0.00;0.00;0;0;8000.00;VINDEMIA DISTRIBUTION
FNAC - 65665;VINDEMIA DISTRIBUTION;JA;CL;Confirmée;Non;Non;Non;Non;22/02/2021;31/12/2021;24000;0;3600.00;3600.00;0.00;0.00;0.00;24000;0;3600.00;VINDEMIA DISTRIBUTION
ZEOP - 69505;ZEOP;FB;CL;Confirmée;Non;Non;Non;Non;01/07/2021;30/06/2022;0;0;1000.00;1000.00;0.00;0.00;0.00;0;0;1000.00;ZEOP
ZEOP - 70349;ZEOP;FB;ECD;Confirmée;Non;Non;Non;Non;09/08/2021;20/08/2021;658435;0;4938.27;4000.00;19.00;0.00;6.08;658435;0;4000.00;ZEOP
ZEOP PARR ZOT GAME - 65492;ZEOP;HF;PRODOP;Confirmée;Non;Non;Non;Non;31/01/2021;31/12/2021;0;0;37000.00;37000.00;0.00;0.00;0.00;0;0;37000.00;ZOORIT
ZEOP PARR ZOT GAME - 65505;ZEOP;DV;EXTWB;Confirmée;Non;Non;Non;Non;31/01/2021;31/12/2021;52800;0;2750.00;2750.00;0.00;0.00;52.08;52800;0;2750.00;ZEOP
