Campagne;Annonceur;Responsable commercial;Nature;Etat planning;Prête à diffuser;Accord cadre;ODI envoyé;ODI reçu;Début;Fin;Volume total prévu;Volume clic prévu;Brut prévu;Net prévu;Taux de remise prévu;Frais techniques prévus;CPM net prévu;Volume total diffusé;Volume clic diffusé;Net diffusé;Mandataire de réservation
BFC OI - 73752;BANQUE FRANCAISE COMMERCIALE O.I;KC;DIGOPS;Confirmée;Non;Non;Non;Non;22/11/2021;12/12/2021;1070000;0;6710,00;3740,00;44,00;0,00;3,21;1070000;0;3740,00;COURT CIRCUIT
BFC OI - 73762;BANQUE FRANCAISE COMMERCIALE O.I;KC;PRODOP;Confirmée;Non;Non;Non;Non;22/11/2021;22/11/2021;0;0;760,00;760,00;0,00;0,00;0,00;0;0;760,00;COURT CIRCUIT
BAYA VIRMARUN - 72390;BAYA-VIRMARUN;KC;CL;Demande;Non;Non;Non;Non;15/10/2021;23/10/2021;123839;0;1857,59;1500,00;19,00;0,00;12,11;123839;0;1500,00;BAYA-VIRMARUN
BAYER BEPANTHEN SENSICALM - 68943;BAYER HEALTH CARE;TF1;IN;Confirmée;Non;Non;Non;Non;07/06/2021;04/07/2021;15109;0;332,40;300,00;10,00;0,00;19,86;15109;0;300,00;BAYER HEALTH CARE
BAYER HYDRALIN - 68944;BAYER HEALTH CARE;TF1;IN;Confirmée;Non;Non;Non;Non;21/06/2021;15/08/2021;70172;0;1606,65;1450,00;10,00;0,00;20,66;70172;0;1450,00;BAYER HEALTH CARE
BEROCCA ENERGIE - 70115;BAYER HEALTH CARE;TF1;IN;Confirmée;Non;Non;Non;Non;23/08/2021;07/11/2021;105767;0;2326,87;2100,00;10,00;0,00;19,85;105767;0;2100,00;BAYER HEALTH CARE
EUPHYTOSE ZEN - 71922;BAYER HEALTH CARE;TF1;IN;Confirmée;Oui;Non;Non;Non;04/10/2021;04/11/2021;73382;0;1614,40;1457,00;10,00;0,00;19,86;73382;0;1457,00;BAYER HEALTH CARE
BAZARDIER - 69060;BAZARDIER;BC;IN;Confirmée;Oui;Non;Non;Non;23/07/2021;01/08/2021;31070;0;842,10;800,00;5,00;0,00;25,75;31070;0;800,00;SMART SHOPPER
BELUXIA VU SUR ANTENNE - 74046;BELUXIA VALS OI DISTRIBUTION;AG;PRODOP;Confirmée;Non;Non;Non;Non;01/12/2021;01/12/2021;0;0;200,00;200,00;0,00;0,00;0,00;0;0;200,00;BELUXIA VALS OI DISTRIBUTION
BELUXIA VU SUR ANTENNE - 74049;BELUXIA VALS OI DISTRIBUTION;AG;DIGOPS;Confirmée;Oui;Non;Non;Non;01/12/2021;05/12/2021;150000;0;720,00;500,00;31,00;0,00;3,33;0;0;0,00;BELUXIA VALS OI DISTRIBUTION
BLUE VIRGIN VU SUR ANTENNE - 74709;BLUE VIRGIN;AG;PRODOP;Confirmée;Non;Non;Non;Non;08/12/2021;08/12/2021;0;0;200,00;200,00;0,00;0,00;0,00;0;0;200,00;BLUE VIRGIN
BOURBON CONSEIL 20/VIN - 68904;BOURBON CONSEIL;JA;CL;Confirmée;Non;Non;Non;Non;31/05/2021;04/07/2021;0;0;850,00;500,00;41,00;0,00;0,00;0;0;500,00;BOURBON CONSEIL
BOURBON CONSEIL 20/VIN - 71583;BOURBON CONSEIL;KC;CL;Confirmée;Non;Non;Non;Non;04/09/2021;04/10/2021;0;0;850,00;500,00;41,00;0,00;0,00;0;0;500,00;BOURBON CONSEIL
CAVES 20/20 - 74284;BOURBON CONSEIL;KC;CL;Option;Non;Non;Non;Non;25/11/2021;02/01/2022;8173064;0;0,00;0,00;0,00;0,00;0,00;8327668;0;500,00;BOURBON CONSEIL
BUREAU VALLEE - 69913;BUREAU VALLEE (Saint André);BC;CL;Demande;Non;Non;Non;Non;02/07/2021;02/07/2021;0;0;750,00;750,00;0,00;0,00;0,00;0;0;750,00;TOM POUCE-MEDICIS
BUREAU VALLEE - 69914;BUREAU VALLEE (Saint André);BC;CL;Demande;Non;Non;Non;Non;05/07/2021;11/07/2021;92336;0;1662,04;1500,00;10,00;0,00;16,25;92336;0;1500,00;TOM POUCE-MEDICIS
BUREAU VALLEE SAINT PIERRE - 71412;BUREAU VALLEE (ST PIERRE)   ;BC;CL;Confirmée;Oui;Non;Non;Non;23/09/2021;30/09/2021;110803;0;1662,05;1500,00;10,00;0,00;13,54;110803;0;1500,00;AZYU
MOBITEC CATALOGUE ANNUEL - 65794;BUTOR MEUBLES;JA;CL;Confirmée;Non;Non;Non;Non;01/01/2021;31/12/2021;0;0;829,49;829,49;0,00;0,00;0,00;0;0;829,49;BUTOR MEUBLES
LEADER PRICE LP 15 - 69724;CAILLE GRANDE DISTRIBUTION;BE;CL;Confirmée;Oui;Non;Non;Non;13/07/2021;25/07/2021;220726;0;3703,71;3000,00;19,00;0,00;13,59;220726;0;3000,00;CRAP
LEADER PRICE LP 15 - 69752;CAILLE GRANDE DISTRIBUTION;BE;CL;Confirmée;Non;Non;Non;Non;13/07/2021;25/07/2021;0;0;2500,00;2500,00;0,00;0,00;0,00;0;0;2500,00;CRAP
LEADER PRICE LP 20 - 71884;CAILLE GRANDE DISTRIBUTION;BE;CL;Confirmée;Oui;Non;Non;Non;21/09/2021;03/10/2021;220726;0;3703,71;3000,00;19,00;0,00;13,59;220726;0;3000,00;CRAP
LEADER PRICE LP 20 - 71885;CAILLE GRANDE DISTRIBUTION;BE;CL;Confirmée;Non;Non;Non;Non;21/09/2021;03/10/2021;0;0;2500,00;2500,00;0,00;0,00;0,00;0;0;2500,00;CRAP
LEADER PRICE LP 24 - 73161;CAILLE GRANDE DISTRIBUTION;BE;CL;Confirmée;Non;Non;Non;Non;16/11/2021;27/11/2021;0;0;4000,00;2500,00;38,00;0,00;0,00;0;0;2500,00;CRAP
LEADER PRICE LP 24 - 73162;CAILLE GRANDE DISTRIBUTION;BE;CL;Confirmée;Oui;Non;Non;Non;16/11/2021;27/11/2021;220726;0;3703,71;3000,00;19,00;0,00;13,59;220726;0;3000,00;CRAP
LEADER PRICE OP 18 - 70663;CAILLE GRANDE DISTRIBUTION;BE;CL;Confirmée;Oui;Non;Non;Non;24/08/2021;04/09/2021;220726;0;3703,71;3000,00;19,00;0,00;13,59;220726;0;3000,00;CRAP
LEADER PRICE OP18 - 70664;CAILLE GRANDE DISTRIBUTION;BE;CL;Confirmée;Non;Non;Non;Non;24/08/2021;04/09/2021;0;0;2500,00;2500,00;0,00;0,00;0,00;0;0;2500,00;CRAP
LEADER PRICE PAR TOUS EN CUISINE - 71851;CAILLE GRANDE DISTRIBUTION;BE;PRODOP;Confirmée;Non;Non;Non;Non;07/10/2021;07/10/2021;0;0;220,00;220,00;0,00;0,00;0,00;0;0;220,00;CRAP
LEADER PRICE PAR TOUS EN CUISINE - 71854;CAILLE GRANDE DISTRIBUTION;BE;EXTWB;Confirmée;Non;Non;Non;Non;07/10/2021;25/11/2021;0;0;875,00;875,00;0,00;0,00;0,00;0;0;875,00;CRAP
LEADER PRICE PAR TOUS EN CUISINE - 71859;CAILLE GRANDE DISTRIBUTION;BE;DIGOPS;Confirmée;Non;Non;Non;Non;07/10/2021;25/11/2021;800000;0;4500,00;2780,00;38,00;0,00;3,35;800000;0;2780,00;CRAP
CRC ZOOM SUR - 71915;CAISSES REUNIONNAISES COMPLEMENT;KC;PRODOP;Confirmée;Non;Non;Non;Non;26/09/2021;30/09/2021;0;0;2500,00;2500,00;0,00;0,00;0,00;0;0;2500,00;CAISSES REUNIONNAISES COMPLEMENT
C+ RUN PIRATAGE S2 - 71098;CANAL+ REUNION;FB;IN;Demande;Non;Non;Non;Non;17/09/2021;30/09/2021;100000;0;2530,00;1730,52;32,00;0,00;17,31;0;0;0,00;LUVI MEDIA (HAVAS REUNION)
CANAL - 73957;CANAL+ REUNION;FB;CL;Demande;Non;Non;Non;Non;25/11/2021;16/01/2022;286000;0;6292,00;4542,82;28,00;0,00;15,88;286000;0;4542,82;LUVI MEDIA (HAVAS REUNION)
CANAL - 74259;CANAL+ REUNION;FB;CL;Confirmée;Non;Non;Non;Non;25/11/2021;16/01/2022;300500;0;6611,00;4542,82;31,00;0,00;15,12;300500;0;4542,82;LUVI MEDIA (HAVAS REUNION)
CANAL - 74300;CANAL+ REUNION;FB;CL;Confirmée;Non;Non;Non;Non;03/12/2021;16/01/2022;187411;0;4114,92;2819,79;31,00;0,00;15,05;0;0;0,00;LUVI MEDIA (HAVAS REUNION)
CANAL + RUN - 69519;CANAL+ REUNION;FB;IN;Confirmée;Oui;Non;Non;Non;01/07/2021;14/07/2021;182900;0;4385,96;3000,00;32,00;0,00;16,40;182900;0;3000,00;LUVI MEDIA (HAVAS REUNION)
CANAL + RUN BTS - 69919;CANAL+ REUNION;FB;IN;Confirmée;Oui;Non;Non;Non;02/08/2021;15/08/2021;199362;0;4385,96;3000,00;32,00;0,00;15,05;199362;0;3000,00;LUVI MEDIA (HAVAS REUNION)
