campagne;campagne_(filtres);nom;format;etat;PAD;date_de_debut_prevue;date_de_fin_prevue;annonceur;Responsable commercial;volume_total_prevu;Groupe d'insertions
LA HALLE - 63166;LA HALLE - 63166;OUVERTURE CATALOGUE RODZAFER;-;Reservee;Non;23/11/2020;31/12/2020;SNGR ;AUFFRET Jerome;0;
LA HALLE - 63166;LA HALLE - 63166;INTERSTITIEL;-;Reservee;Non;23/11/2020;29/11/2020;SNGR ;AUFFRET Jerome;0;
LA HALLE - 63166;LA HALLE - 63166;2 PUSHS;-;Reservee;Non;24/11/2020;12/12/2020;SNGR ;AUFFRET Jerome;0;
LA VACHE QUI RIT PARR KLB - 61195;LA VACHE QUI RIT PARR KLB - 61195;PORTAIL ART 2014 - Rectangle - 300x250 - Exclu;GRAND ANGLE;Confirmee;Non;01/09/2020;30/09/2020;FROMAGERIES BEL;BONJOUR Cyrille;1066523;
LA VACHE QUI RIT PARR KLB - 61195;LA VACHE QUI RIT PARR KLB - 61195;PORTAIL ART 2014 - Logo - Taille Variable - Exclu;LOGO;Confirmee;Non;01/09/2020;30/09/2020;FROMAGERIES BEL;BONJOUR Cyrille;2023611;
LA VACHE QUI RIT PARR KLB - 61195;LA VACHE QUI RIT PARR KLB - 61195;PORTAIL ART 2014 - Megabannière - 728x90 - Exclu;MASTHEAD;Confirmee;Non;01/09/2020;30/09/2020;FROMAGERIES BEL;BONJOUR Cyrille;143314;
LA VACHE QUI RIT PARR KLB - 61195;LA VACHE QUI RIT PARR KLB - 61195;PORTAIL ART 2014 - Habillage - Taille variable selon le site - Exclu;HABILLAGE;Confirmee;Non;01/09/2020;30/09/2020;FROMAGERIES BEL;BONJOUR Cyrille;141103;
LACTALIS PRESIDENT - 60316;LACTALIS PRESIDENT - 60316;INSTREAM 20S TF1;INSTREAM;Confirmee;Non;03/08/2020;16/08/2020;LES DISTRIBUTEURS ASSOCIES;BONJOUR Cyrille;25161;INSTREAM 20S AR/LINFO/TF1/M6/DAILYMOTION
LACTALIS PRESIDENT - 60316;LACTALIS PRESIDENT - 60316;INSTREAM 20S M6;INSTREAM;Confirmee;Non;03/08/2020;16/08/2020;LES DISTRIBUTEURS ASSOCIES;BONJOUR Cyrille;24766;INSTREAM 20S AR/LINFO/TF1/M6/DAILYMOTION
LACTALIS PRESIDENT - 60316;LACTALIS PRESIDENT - 60316;INSTREAM 20S AR/LINFO;INSTREAM;Confirmee;Non;03/08/2020;16/08/2020;LES DISTRIBUTEURS ASSOCIES;BONJOUR Cyrille;83071;INSTREAM 20S AR/LINFO/TF1/M6/DAILYMOTION
LACTALIS PRESIDENT - 60316;LACTALIS PRESIDENT - 60316;INSTREAM 20S DAILYMOTION;INSTREAM;Confirmee;Non;03/08/2020;16/08/2020;LES DISTRIBUTEURS ASSOCIES;BONJOUR Cyrille;27716;INSTREAM 20S AR/LINFO/TF1/M6/DAILYMOTION
LE COIN DES PETITS PARR BABYBOOM - 59053;LE COIN DES PETITS PARR BABYBOOM - 59053;PORTAIL ART 2014 /Programmes/Emissions/Baby boom - Rectangle - 300x250 - Exclu;GRAND ANGLE;Confirmee;Non;01/06/2020;22/07/2020;LE COIN DES PETITS;LACOUTURE Juliette;466;extension web : BABYBOOM
LE COIN DES PETITS PARR BABYBOOM - 59053;LE COIN DES PETITS PARR BABYBOOM - 59053;PORTAIL ART 2014 /Programmes/Emissions/Baby boom, /Programmes/Emissions/Baby boom, /Programmes/Emissions/Baby boom - Logo - Taille Variable - Exclu;LOGO;Confirmee;Non;01/06/2020;22/07/2020;LE COIN DES PETITS;LACOUTURE Juliette;2242;extension web : BABYBOOM
LE COIN DES PETITS PARR BABYBOOM - 59053;LE COIN DES PETITS PARR BABYBOOM - 59053;PORTAIL ART 2014 /Programmes/Emissions/Baby boom - Megabannière - 728x90 - Exclu;MASTHEAD;Confirmee;Non;01/06/2020;22/07/2020;LE COIN DES PETITS;LACOUTURE Juliette;590;extension web : BABYBOOM
LE COIN DES PETITS PARR BABYBOOM - 59053;LE COIN DES PETITS PARR BABYBOOM - 59053;PORTAIL ART 2014 /Programmes/Emissions/Baby boom - Habillage - Taille variable selon le site - Exclu;HABILLAGE;Confirmee;Non;01/06/2020;22/07/2020;LE COIN DES PETITS;LACOUTURE Juliette;661;extension web : BABYBOOM
LEADER PRICE - 59762;LEADER PRICE - 59762;DTJ 2020 - RG RESEAU ARP - INTERSTITIEL - Interstitiel - Taille variable;INTERSTITIEL;Confirmee;Non;14/07/2020;26/07/2020;CAILLE GRANDE DISTRIBUTION;BOURSIER Estelle;13333;20-RESEAU ASB-INTERSTITIEL RG
LEADER PRICE - 59762;LEADER PRICE - 59762;INTERSTITIEL SUR APPLI ACTU REUNION;INTERSTITIEL;Confirmee;Non;14/07/2020;26/07/2020;CAILLE GRANDE DISTRIBUTION;BOURSIER Estelle;16667;20-RESEAU ASB-INTERSTITIEL RG
LEADER PRICE - 59762;LEADER PRICE - 59762;OR 2020 - RG RESEAU ARP - INTERSTITIEL - Interstitiel - Taille variable;INTERSTITIEL;Confirmee;Non;14/07/2020;26/07/2020;CAILLE GRANDE DISTRIBUTION;BOURSIER Estelle;83333;20-RESEAU ASB-INTERSTITIEL RG
LEADER PRICE - 59762;LEADER PRICE - 59762;INTERSTITIEL SUR APPLI AR/LINFO;INTERSTITIEL;Confirmee;Non;14/07/2020;26/07/2020;CAILLE GRANDE DISTRIBUTION;BOURSIER Estelle;56667;20-RESEAU ASB-INTERSTITIEL RG
LEADER PRICE - 59762;LEADER PRICE - 59762;AR 2020 - RG RESEAU ARP - INTERSTITIEL - Interstitiel - Taille variable;INTERSTITIEL;Confirmee;Non;14/07/2020;26/07/2020;CAILLE GRANDE DISTRIBUTION;BOURSIER Estelle;163333;20-RESEAU ASB-INTERSTITIEL RG
LEADER PRICE - 59968;LEADER PRICE - 59968;INTERSTITIEL;-;Confirmee;Non;30/06/2020;11/07/2020;CAILLE GRANDE DISTRIBUTION;AUFFRET Jerome;0;
LEADER PRICE - 59968;LEADER PRICE - 59968;PUSH VAGUE 2;-;Confirmee;Non;04/07/2020;04/07/2020;CAILLE GRANDE DISTRIBUTION;AUFFRET Jerome;0;
LEADER PRICE - 60206;LEADER PRICE - 60206;INTERSTITIEL ;-;Confirmee;Non;14/07/2020;26/07/2020;CAILLE GRANDE DISTRIBUTION;AUFFRET Jerome;0;
LEADER PRICE - 60206;LEADER PRICE - 60206;PUSH;-;Confirmee;Non;14/07/2020;26/07/2020;CAILLE GRANDE DISTRIBUTION;AUFFRET Jerome;0;
LEADER PRICE - 60700;LEADER PRICE - 60700;INTERSTITIEL;-;Confirmee;Non;28/07/2020;09/08/2020;CAILLE GRANDE DISTRIBUTION;AUFFRET Jerome;0;
LEADER PRICE - 60700;LEADER PRICE - 60700;OUVERTURE CATALOGUE;-;Confirmee;Non;28/07/2020;09/08/2020;CAILLE GRANDE DISTRIBUTION;AUFFRET Jerome;0;
LEADER PRICE - 60700;LEADER PRICE - 60700;2 PUSHS;-;Confirmee;Non;01/08/2020;07/08/2020;CAILLE GRANDE DISTRIBUTION;AUFFRET Jerome;0;
LEADER PRICE - 60704;LEADER PRICE - 60704;instream video 10s m6;INSTREAM;Confirmee;Non;11/08/2020;23/08/2020;CAILLE GRANDE DISTRIBUTION;BOURSIER Estelle;13636;
LEADER PRICE - 60704;LEADER PRICE - 60704;instream video 10s tf1;INSTREAM;Confirmee;Non;11/08/2020;23/08/2020;CAILLE GRANDE DISTRIBUTION;BOURSIER Estelle;14610;
LEADER PRICE - 60704;LEADER PRICE - 60704;instream video 10s linfo/ar;INSTREAM;Confirmee;Non;11/08/2020;23/08/2020;CAILLE GRANDE DISTRIBUTION;BOURSIER Estelle;38961;
LEADER PRICE - 60704;LEADER PRICE - 60704;instream video 10s dailymotion;INSTREAM;Confirmee;Non;11/08/2020;23/08/2020;CAILLE GRANDE DISTRIBUTION;BOURSIER Estelle;30195;
LEADER PRICE - 60704;LEADER PRICE - 60704;dtj - RG RESEAU ARP - INTERSTITIEL - Interstitiel - Taille variable;INTERSTITIEL;Confirmee;Non;11/08/2020;23/08/2020;CAILLE GRANDE DISTRIBUTION;BOURSIER Estelle;5714;20-RESEAU ASB-INTERSTITIEL RG
LEADER PRICE - 60704;LEADER PRICE - 60704;interstitiel sur app actu reunion ;INTERSTITIEL;Confirmee;Non;11/08/2020;23/08/2020;CAILLE GRANDE DISTRIBUTION;BOURSIER Estelle;7143;20-RESEAU ASB-INTERSTITIEL RG
LEADER PRICE - 60704;LEADER PRICE - 60704;or - RG RESEAU ARP - INTERSTITIEL - Interstitiel - Taille variable;INTERSTITIEL;Confirmee;Non;11/08/2020;23/08/2020;CAILLE GRANDE DISTRIBUTION;BOURSIER Estelle;35714;20-RESEAU ASB-INTERSTITIEL RG
LEADER PRICE - 60704;LEADER PRICE - 60704;interstitiel sur app linfo/ar;INTERSTITIEL;Confirmee;Non;11/08/2020;23/08/2020;CAILLE GRANDE DISTRIBUTION;BOURSIER Estelle;24286;20-RESEAU ASB-INTERSTITIEL RG
LEADER PRICE - 60704;LEADER PRICE - 60704;ar - RG RESEAU ARP - INTERSTITIEL - Interstitiel - Taille variable;INTERSTITIEL;Confirmee;Non;11/08/2020;23/08/2020;CAILLE GRANDE DISTRIBUTION;BOURSIER Estelle;70000;20-RESEAU ASB-INTERSTITIEL RG
LEADER PRICE - 61838;LEADER PRICE - 61838;dtj - RG RESEAU ARP - INTERSTITIEL - Interstitiel - Taille variable;INTERSTITIEL;Confirmee;Non;08/09/2020;19/09/2020;CAILLE GRANDE DISTRIBUTION;BOURSIER Estelle;7018;20-RESEAU ASB-INTERSTITIEL RG
LEADER PRICE - 61838;LEADER PRICE - 61838;interstitiel sur app actu reunion ;INTERSTITIEL;Confirmee;Non;08/09/2020;19/09/2020;CAILLE GRANDE DISTRIBUTION;BOURSIER Estelle;8772;20-RESEAU ASB-INTERSTITIEL RG
LEADER PRICE - 61838;LEADER PRICE - 61838;or - RG RESEAU ARP - INTERSTITIEL - Interstitiel - Taille variable;INTERSTITIEL;Confirmee;Non;08/09/2020;19/09/2020;CAILLE GRANDE DISTRIBUTION;BOURSIER Estelle;43860;20-RESEAU ASB-INTERSTITIEL RG
LEADER PRICE - 61838;LEADER PRICE - 61838;interstitiel sur app linfo/ar;INTERSTITIEL;Confirmee;Non;08/09/2020;19/09/2020;CAILLE GRANDE DISTRIBUTION;BOURSIER Estelle;29824;20-RESEAU ASB-INTERSTITIEL RG
LEADER PRICE - 61838;LEADER PRICE - 61838;ar - RG RESEAU ARP - INTERSTITIEL - Interstitiel - Taille variable;INTERSTITIEL;Confirmee;Non;08/09/2020;19/09/2020;CAILLE GRANDE DISTRIBUTION;BOURSIER Estelle;85965;20-RESEAU ASB-INTERSTITIEL RG
LEADER PRICE - 62007;LEADER PRICE - 62007;2 PUSHS;-;Confirmee;Non;08/09/2020;20/09/2020;CAILLE GRANDE DISTRIBUTION;AUFFRET Jerome;0;
LEADER PRICE - 62007;LEADER PRICE - 62007;INTERSTITIEL;-;Confirmee;Non;08/09/2020;20/09/2020;CAILLE GRANDE DISTRIBUTION;AUFFRET Jerome;0;
LEADER PRICE - 62946;LEADER PRICE - 62946;INTERSTITIEL;-;Confirmee;Non;06/10/2020;18/10/2020;CAILLE GRANDE DISTRIBUTION;AUFFRET Jerome;0;
LEADER PRICE - 62946;LEADER PRICE - 62946;OUVERTURE CATALOGUE RODZAFER;-;Confirmee;Non;06/10/2020;18/10/2020;CAILLE GRANDE DISTRIBUTION;AUFFRET Jerome;0;
LEADER PRICE - 62946;LEADER PRICE - 62946;3 PUSHS;-;Confirmee;Non;07/10/2020;14/10/2020;CAILLE GRANDE DISTRIBUTION;AUFFRET Jerome;0;
LEADER PRICE - 63225;LEADER PRICE - 63225;INTERSTITIEL;-;Confirmee;Non;20/10/2020;01/11/2020;CAILLE GRANDE DISTRIBUTION;AUFFRET Jerome;0;
LEADER PRICE - 63225;LEADER PRICE - 63225;3 PUSHS;-;Confirmee;Non;20/10/2020;28/10/2020;CAILLE GRANDE DISTRIBUTION;AUFFRET Jerome;0;
LEADER PRICE - 63225;LEADER PRICE - 63225;OUVERTURE CATALOGUE RODZAFER;-;Confirmee;Non;20/10/2020;01/11/2020;CAILLE GRANDE DISTRIBUTION;AUFFRET Jerome;0;
LEADER PRICE - 64060;LEADER PRICE - 64060;3 PUSHS;-;Confirmee;Non;17/11/2020;23/11/2020;CAILLE GRANDE DISTRIBUTION;AUFFRET Jerome;0;
LEADER PRICE - 64060;LEADER PRICE - 64060;INTERSTITIEL;-;Confirmee;Non;17/11/2020;29/11/2020;CAILLE GRANDE DISTRIBUTION;AUFFRET Jerome;0;
LEADER PRICE - 64060;LEADER PRICE - 64060;DIFFUSION CATALOGUE;-;Confirmee;Non;17/11/2020;29/11/2020;CAILLE GRANDE DISTRIBUTION;AUFFRET Jerome;0;
LEADER PRICE OP 17 - 60930;LEADER PRICE OP 17 - 60930;INTERSTITIEL;-;Confirmee;Non;11/08/2020;23/08/2020;CAILLE GRANDE DISTRIBUTION;AUFFRET Jerome;0;
LEADER PRICE OP 17 - 60930;LEADER PRICE OP 17 - 60930;2 PUSHS;-;Confirmee;Non;11/08/2020;23/08/2020;CAILLE GRANDE DISTRIBUTION;AUFFRET Jerome;0;
LEADER PRICE OP18 - 60931;LEADER PRICE OP18 - 60931;INTERSTITIEL;-;Confirmee;Non;25/08/2020;06/09/2020;CAILLE GRANDE DISTRIBUTION;AUFFRET Jerome;0;
LEADER PRICE OP18 - 60931;LEADER PRICE OP18 - 60931;2 PUSHS;-;Confirmee;Non;25/08/2020;29/08/2020;CAILLE GRANDE DISTRIBUTION;AUFFRET Jerome;0;
LEADER PRICE PAR TOUS EN CUISINE - 63058;LEADER PRICE PAR TOUS EN CUISINE - 63058;PORTAIL ART 2014 /Programmes/Emissions/Tous en cuisine, /Programmes/Emissions/Tous en cuisine - Rectangle - 300x250 - Exclu;GRAND ANGLE;Confirmee;Non;09/10/2020;20/11/2020;CAILLE GRANDE DISTRIBUTION;BOURSIER Estelle;0;
LEADER PRICE PAR TOUS EN CUISINE - 63058;LEADER PRICE PAR TOUS EN CUISINE - 63058;PORTAIL ART 2014 /Programmes/Emissions/Tous en cuisine, /Programmes/Emissions/Tous en cuisine - Megabannière - 728x90 - Exclu;MASTHEAD;Confirmee;Non;09/10/2020;20/11/2020;CAILLE GRANDE DISTRIBUTION;BOURSIER Estelle;0;
LEADER PRICE PAR TOUS EN CUISINE - 63058;LEADER PRICE PAR TOUS EN CUISINE - 63058;PORTAIL ART 2014 /Programmes/Emissions/Tous en cuisine, /Programmes/Emissions/Tous en cuisine, /Programmes/Emissions/Tous en cuisine - Logo - Taille Variable - Exclu;LOGO;Confirmee;Non;09/10/2020;20/11/2020;CAILLE GRANDE DISTRIBUTION;BOURSIER Estelle;0;
LEADER PRICE PAR TOUS EN CUISINE - 63058;LEADER PRICE PAR TOUS EN CUISINE - 63058;PORTAIL ART 2014 /Programmes/Emissions/Tous en cuisine - Habillage - Taille variable selon le site - Exclu;HABILLAGE;Confirmee;Non;09/10/2020;20/11/2020;CAILLE GRANDE DISTRIBUTION;BOURSIER Estelle;0;
LEAL MISS REUNION - 62411;LEAL MISS REUNION - 62411;DIFFUSION WEB;-;Confirmee;Non;30/09/2020;30/09/2020;LEAL REUNION;LACOUTURE Juliette;0;
LECLERC - 60076;LECLERC - 60076;2 PUSHS;-;Confirmee;Non;30/06/2020;12/07/2020;GIE DISTRI MASCAREIGNES;AUFFRET Jerome;0;
LECLERC - 60076;LECLERC - 60076;INTERSTITIEL;-;Confirmee;Non;05/07/2020;11/07/2020;GIE DISTRI MASCAREIGNES;AUFFRET Jerome;0;
LECLERC - 61053;LECLERC - 61053;INSTREAM 33S m6;INSTREAM;Confirmee;Non;07/08/2020;19/08/2020;GIE DISTRI MASCAREIGNES;LACOUTURE Juliette;10120;
LECLERC - 61053;LECLERC - 61053;INSTREAM 33S DAILYMOTION;INSTREAM;Confirmee;Non;07/08/2020;19/08/2020;GIE DISTRI MASCAREIGNES;LACOUTURE Juliette;10120;
LECLERC - 61053;LECLERC - 61053;INSTREAM 33S tf1;INSTREAM;Confirmee;Non;07/08/2020;19/08/2020;GIE DISTRI MASCAREIGNES;LACOUTURE Juliette;8222;
LECLERC - 61053;LECLERC - 61053;INSTREAM 33S AR/LINFO;INSTREAM;Confirmee;Non;07/08/2020;19/08/2020;GIE DISTRI MASCAREIGNES;LACOUTURE Juliette;34786;
LECLERC - 62083;LECLERC - 62083;DTJ 2020 - RG RESEAU ARP - INTERSTITIEL - Interstitiel - Taille variable;INTERSTITIEL;Confirmee;Non;14/09/2020;27/09/2020;GIE DISTRI MASCAREIGNES;LACOUTURE Juliette;5200;2020 RESEAU ASB INTERSTITIEL VIDEO RG
LECLERC - 62083;LECLERC - 62083;INTERSTITIEL SUR APPLI ACTU REUNION;INTERSTITIEL;Confirmee;Non;14/09/2020;27/09/2020;GIE DISTRI MASCAREIGNES;LACOUTURE Juliette;6500;2020 RESEAU ASB INTERSTITIEL VIDEO RG
LECLERC - 62083;LECLERC - 62083;OR 2020 - RG RESEAU ARP - INTERSTITIEL - Interstitiel - Taille variable;INTERSTITIEL;Confirmee;Non;14/09/2020;27/09/2020;GIE DISTRI MASCAREIGNES;LACOUTURE Juliette;32500;2020 RESEAU ASB INTERSTITIEL VIDEO RG
LECLERC - 62083;LECLERC - 62083;INTERSTITIEL SUR APPLI AR/LINFO;INTERSTITIEL;Confirmee;Non;14/09/2020;27/09/2020;GIE DISTRI MASCAREIGNES;LACOUTURE Juliette;22100;2020 RESEAU ASB INTERSTITIEL VIDEO RG
LECLERC - 62083;LECLERC - 62083;AR 2020 - RG RESEAU ARP - INTERSTITIEL - Interstitiel - Taille variable;INTERSTITIEL;Confirmee;Non;14/09/2020;27/09/2020;GIE DISTRI MASCAREIGNES;LACOUTURE Juliette;63700;2020 RESEAU ASB INTERSTITIEL VIDEO RG
LECLERC OUVERTURE STE MARIE - 62921;LECLERC OUVERTURE STE MARIE - 62921;INSTREAM VIDEO 20S AR/LINFO;INSTREAM;Confirmee;Non;26/10/2020;15/11/2020;GIE DISTRI MASCAREIGNES;LACOUTURE Juliette;130000;
LEROY MERLIN - 59970;LEROY MERLIN - 59970;OUVERTURE CATALOGUE RODZAFER;-;Confirmee;Non;01/07/2020;19/07/2020;LEROY MERLIN RSL LE GOL;AUFFRET Jerome;2333;
LEROY MERLIN - 60796;LEROY MERLIN - 60796;OUVERTURE CATALOGUE RODZAFER;-;Confirmee;Non;27/07/2020;24/08/2020;LEROY MERLIN RSL LE GOL;AUFFRET Jerome;2333;
LEROY MERLIN - 60898;LEROY MERLIN - 60898;OUVERTURE CATALOGUE RODZAFER;-;Confirmee;Non;31/07/2020;17/08/2020;LEROY MERLIN RSL LE GOL;AUFFRET Jerome;2333;
LEROY MERLIN - 62944;LEROY MERLIN - 62944;OUVERTURES CATALOGUE - OUVERTURE CATALOGUE;-;Confirmee;Non;09/10/2020;26/10/2020;LEROY MERLIN RSL LE GOL;AUFFRET Jerome;0;
LEROY MERLIN - 63524;LEROY MERLIN - 63524;OUVERTURES CATALOGUE - OUVERTURE CATALOGUE;-;Confirmee;Non;28/10/2020;16/11/2020;LEROY MERLIN RSL LE GOL;AUFFRET Jerome;0;
LEROY MERLIN - CUISINE - 62157;LEROY MERLIN - CUISINE - 62157;OUVERTURE CATALOGUE RODZAFER;-;Confirmee;Non;10/09/2020;11/10/2020;LEROY MERLIN RSL LE GOL;AUFFRET Jerome;2333;
LEROY MERLIN  FRAICHEUR DE VIVRE - 64023;LEROY MERLIN  FRAICHEUR DE VIVRE - 64023;DIFFUSION CATALOGUE ;-;Confirmee;Non;14/11/2020;30/11/2020;LEROY MERLIN RSL LE GOL;AUFFRET Jerome;2333;
LEROY MERLIN - JARDIN - 62156;LEROY MERLIN - JARDIN - 62156;OUVERTURES CATALOGUE - OUVERTURE CATALOGUE;-;Confirmee;Non;12/09/2020;20/10/2020;LEROY MERLIN RSL LE GOL;AUFFRET Jerome;0;
LEROY MERLIN INSPIRATION JARDIN - 63526;LEROY MERLIN INSPIRATION JARDIN - 63526;OUVERTURES CATALOGUE - OUVERTURE CATALOGUE;-;Confirmee;Non;02/11/2020;30/11/2020;LEROY MERLIN RSL LE GOL;AUFFRET Jerome;0;
LEROY MERLIN PAR TOUS EN CUISINE - 62791;LEROY MERLIN PAR TOUS EN CUISINE - 62791;PORTAIL ART 2014 - Megabannière - 728x90 - Exclu;MASTHEAD;Confirmee;Non;02/10/2020;21/11/2020;LEROY MERLIN RSL LE GOL;BOURSIER Estelle;246086;
LEROY MERLIN PAR TOUS EN CUISINE - 62791;LEROY MERLIN PAR TOUS EN CUISINE - 62791;PORTAIL ART 2014 - Logo - Taille Variable - Exclu;LOGO;Confirmee;Non;02/10/2020;21/11/2020;LEROY MERLIN RSL LE GOL;BOURSIER Estelle;3081729;
LEROY MERLIN PAR TOUS EN CUISINE - 62791;LEROY MERLIN PAR TOUS EN CUISINE - 62791;PORTAIL ART 2014 - Habillage - Taille variable selon le site - Exclu;HABILLAGE;Confirmee;Non;02/10/2020;21/11/2020;LEROY MERLIN RSL LE GOL;BOURSIER Estelle;236676;
LEROY MERLIN PAR TOUS EN CUISINE - 62791;LEROY MERLIN PAR TOUS EN CUISINE - 62791;PORTAIL ART 2014 - Rectangle - 300x250 - Exclu;GRAND ANGLE;Confirmee;Non;02/10/2020;21/11/2020;LEROY MERLIN RSL LE GOL;BOURSIER Estelle;1717200;
LEROY MERLIN PROD - 62680;LEROY MERLIN PROD - 62680;PROD OUVERTURE LEROY MERLIN LE PORT;-;Confirmee;Non;31/10/2020;31/10/2020;COURT CIRCUIT;BOURSIER Estelle;0;
LEROY MERLIN PROD - 62680;LEROY MERLIN PROD - 62680;PROD OUVERTURE LEROY MERLIN LE PORT;-;Confirmee;Non;31/10/2020;31/10/2020;COURT CIRCUIT;BOURSIER Estelle;0;
LEXUS - 62809;LEXUS - 62809;DTJ - RG RESEAU ARP - INTERSTITIEL - Interstitiel - Taille variable;INTERSTITIEL;Confirmee;Non;06/10/2020;15/10/2020;CMM AUTOMOBILES;LACOUTURE Juliette;8000;20-RESEAU ASB-INTERSTITIEL RG
LEXUS - 62809;LEXUS - 62809;interstitiel sur actu reunion;INTERSTITIEL;Confirmee;Non;06/10/2020;15/10/2020;CMM AUTOMOBILES;LACOUTURE Juliette;10000;20-RESEAU ASB-INTERSTITIEL RG
LEXUS - 62809;LEXUS - 62809;OR - RG RESEAU ARP - INTERSTITIEL - Interstitiel - Taille variable;INTERSTITIEL;Confirmee;Non;06/10/2020;15/10/2020;CMM AUTOMOBILES;LACOUTURE Juliette;50000;20-RESEAU ASB-INTERSTITIEL RG
LEXUS - 62809;LEXUS - 62809;interstitiel sur app linfo/ar;INTERSTITIEL;Confirmee;Non;06/10/2020;15/10/2020;CMM AUTOMOBILES;LACOUTURE Juliette;34000;20-RESEAU ASB-INTERSTITIEL RG
LEXUS - 62809;LEXUS - 62809;AR - RG RESEAU ARP - INTERSTITIEL - Interstitiel - Taille variable;INTERSTITIEL;Confirmee;Non;06/10/2020;15/10/2020;CMM AUTOMOBILES;LACOUTURE Juliette;98000;20-RESEAU ASB-INTERSTITIEL RG
LIGUE REGIONAL DE BASKET BALL - 63942;LIGUE REGIONAL DE BASKET BALL - 63942;2020 - RG RECTANGLE APPLI - 2020 - RECTANGLE APPLI;GRAND ANGLE;Reservee;Non;18/11/2020;25/11/2020;LIGUE REGIONALE DE BASKET BALL;LACOUTURE Juliette;234000;20-RESEAU ASB-RECTANGLE VIDEO 45S RG
LIGUE REGIONAL DE BASKET BALL - 63942;LIGUE REGIONAL DE BASKET BALL - 63942;2020 - RG RECTANGLE - 2020 - RECTANGLE;GRAND ANGLE;Reservee;Non;18/11/2020;25/11/2020;LIGUE REGIONALE DE BASKET BALL;LACOUTURE Juliette;216000;20-RESEAU ASB-RECTANGLE VIDEO 45S RG
LOGIS PARR KOH LANTA - 61384;LOGIS PARR KOH LANTA - 61384;PORTAIL ART 2014 /Programmes/Emissions/Koh Lanta - Logo - Taille Variable - Exclu;LOGO;Confirmee;Non;29/08/2020;28/11/2020;SOPECO;VIRAMOUTOU David;4894;
LOGIS PARR KOH LANTA - 61384;LOGIS PARR KOH LANTA - 61384;PORTAIL ART 2014 - Habillage - Taille variable selon le site - Exclu;HABILLAGE;Confirmee;Non;29/08/2020;28/11/2020;SOPECO;VIRAMOUTOU David;414450;
LOGIS PARR KOH LANTA - 61384;LOGIS PARR KOH LANTA - 61384;PORTAIL ART 2014 - Rectangle - 300x250 - Exclu;GRAND ANGLE;Confirmee;Non;29/08/2020;28/11/2020;SOPECO;VIRAMOUTOU David;2987560;
LOGIS PARR KOH LANTA - 61384;LOGIS PARR KOH LANTA - 61384;PORTAIL ART 2014 - Megabannière - 728x90 - Exclu;MASTHEAD;Confirmee;Non;29/08/2020;28/11/2020;SOPECO;VIRAMOUTOU David;422461;
LOGIS PARR THE VOICE KIDS - 61376;LOGIS PARR THE VOICE KIDS - 61376;PORTAIL ART 2014 - Rectangle - 300x250 - Exclu;GRAND ANGLE;Confirmee;Non;23/08/2020;25/10/2020;SOPECO;VIRAMOUTOU David;2295708;
LOGIS PARR THE VOICE KIDS - 61376;LOGIS PARR THE VOICE KIDS - 61376;PORTAIL ART 2014 - Logo - Taille Variable - Exclu;LOGO;Confirmee;Non;23/08/2020;25/10/2020;SOPECO;VIRAMOUTOU David;4251037;
LOGIS PARR THE VOICE KIDS - 61376;LOGIS PARR THE VOICE KIDS - 61376;PORTAIL ART 2014 - Habillage - Taille variable selon le site - Exclu;HABILLAGE;Confirmee;Non;23/08/2020;25/10/2020;SOPECO;VIRAMOUTOU David;303056;
LOGIS PARR THE VOICE KIDS - 61376;LOGIS PARR THE VOICE KIDS - 61376;PORTAIL ART 2014 - Megabannière - 728x90 - Exclu;MASTHEAD;Confirmee;Non;23/08/2020;25/10/2020;SOPECO;VIRAMOUTOU David;310529;
MAC DONALD'S  - 59821;MAC DONALD'S  - 59821;OR - RG RESEAU ARP - MASTHEAD - Masthead/Billboard - 970x250;-;Confirmee;Non;13/07/2020;19/07/2020;GIE RESTAURANTS REUNIS;LACOUTURE Juliette;100000;
MAC DONALD'S  - 59821;MAC DONALD'S  - 59821;MASTHEAD SUR APP ACTU REUNION;MASTHEAD;Confirmee;Non;13/07/2020;19/07/2020;GIE RESTAURANTS REUNIS;LACOUTURE Juliette;20000;20-RESEAU ASB-MASTHEAD RG
MAC DONALD'S  - 59821;MAC DONALD'S  - 59821;MASTHEAD SUR APP LINFO/AR;MASTHEAD;Confirmee;Non;13/07/2020;19/07/2020;GIE RESTAURANTS REUNIS;LACOUTURE Juliette;68000;20-RESEAU ASB-MASTHEAD RG
MAC DONALD'S  - 59821;MAC DONALD'S  - 59821;AR - RG RESEAU ARP - MASTHEAD - Masthead/Billboard - 970x250;MASTHEAD;Confirmee;Non;13/07/2020;19/07/2020;GIE RESTAURANTS REUNIS;LACOUTURE Juliette;212000;20-RESEAU ASB-MASTHEAD RG
MAC DONALD'S  - 59821;MAC DONALD'S  - 59821;DTJ- RG RESEAU ARP - HABILLAGE - Habillage - Taille variable selon le site;HABILLAGE;Confirmee;Non;13/07/2020;19/07/2020;GIE RESTAURANTS REUNIS;LACOUTURE Juliette;16000;20-RESEAU ASB-HABILLAGE RG
MAC DONALD'S  - 59821;MAC DONALD'S  - 59821;AR - RG RESEAU ARP - HABILLAGE - Habillage - Taille variable selon le site;HABILLAGE;Confirmee;Non;13/07/2020;19/07/2020;GIE RESTAURANTS REUNIS;LACOUTURE Juliette;384000;20-RESEAU ASB-HABILLAGE RG
